ort;kanton;name;baujahr;konfession;bautypus;eigentum;baumassnahmen;nutzungsform;nutzungsart;infolink;ID
Lausanne;VD;Temple de Saint-Luc;1938 - 1940;Evangelisch-reformiert;Kirche;Rückgabe;Umbau;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/1_vd_lausanne_temple_de_saint_luc/index_ger.html;1
Luzern;LU;Maihofkirche (St. Josef);1940 - 1941;Römisch-katholisch;Kirche;Unverändert;Umbau;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/2_lu_luzern_maihofkirche_st_josef/index_ger.html;2
Winterthur;ZH;Kirche Rosenberg;1963 - 1964;Evangelisch-reformiert;Kirche;Unverändert;;Erweiterte Nutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/3_zh_winterthur_kirche_rosenberg/index_ger.html;3
Zürich;ZH;Kirche Wollishofen;1935 - 1936;Evangelisch-reformiert;Kirche;Unverändert;Unverändert;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/4_zh_zuerich_kirche_wollishofen/index_ger.html;4
Fribourg;FR;Regina Mundi;1958;Römisch-katholisch;Kirche;Verkauf;Umbau;Fremdnutzung;Weiteres;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/5_fr_fribourg_regina_mundi/index_ger.html;5
Basel;BS;Markuskirche;1932;Evangelisch-reformiert;Kirche;Unverändert;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/6_bs_basel_markuskirche/index_ger.html;6
Genève;GE;Temple de la Roseraie;1961;Evangelisch-reformiert;Kirche;;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/7_ge_genve_temple_de_la_roseraie/index_ger.html;7
Bern;BE;Matthäuskirche;1962 - 1965;Evangelisch-reformiert;Kirche;Abgabe im Baurecht;Unverändert;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/8_be_bern_matthaeuskirche/index_ger.html;8
Turgi;AG;Reformierte Kirche;1959 - 1960;Evangelisch-reformiert;Kirche;Unverändert;Abriss | Neubau;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/9_ag_turgi_reformierte_kirche/index_ger.html;9
Bern;BE;Neuapostolische Kirche;1952;Neuapostolisch;Kirche;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/10_be_bern_neuapostolische_kirche/index_ger.html;10
Staffelbach;AG;Methodistische Kirche;;Evangelisch-methodistisch;Kirche;Verkauf;;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/11_ag_staffelbach_methodistische_kirche/index_ger.html;11
Böckten;BL;Neuapostolische Kirche;;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/12_bl_boeckten_neuapostolische_kirche/index_ger.html;12
Mellingen;AG;Neuapostolische Kirche;;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/13_ag_mellingen_neuapostolische_kirche/index_ger.html;13
Teufen;AR;Methodistische Kirche;1908;Evangelisch-methodistisch;Kirche;Verkauf;;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/14_ar_teufen_methodistische_kirche/index_ger.html;14
Bern;BE;Wesley-Kapelle;1907;Evangelisch-methodistisch;Kirche;;Umbau;Fremdnutzung;Kulturell;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/15_be_bern_wesley_kapelle/index_ger.html;15
St. Gallen;SG;Neuapostolische Kirche;1957;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Weiteres;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/16_sg_st_gallen_neuapostolische_kirche/index_ger.html;16
Zürich;ZH;Neuapostolische Kirche Wollishofen;;Neuapostolisch;Kirche;Verkauf;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/17_zh_zuerich_neuapostolische_kirche_wollishofen/index_ger.html;17
Brienz;BE;Neuapostolische Kirche;;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/18_be_brienz_neuapostolische_kirche/index_ger.html;18
Laufen;BL;Neuapostolische Kirche;;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/19_bl_laufen_neuapostolische_kirche/index_ger.html;19
Solothurn;SO;St. Josef;1650 um;Römisch-katholisch;Kloster;;;Fremdnutzung;Kulturell;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/20_so_solothurn_st_josef/index_ger.html;20
Solothurn;SO;Kapuzinerkloster;;Römisch-katholisch;Kloster;Rückgabe;;Fremdnutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/21_so_solothurn_kapuzinerkloster/index_ger.html;21
Dornach;SO;Kapuzinerkloster;;Römisch-katholisch;Kloster;Rückgabe;Unverändert;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/22_so_dornach_kapuzinerkloster/index_ger.html;22
Sursee;LU;Kapuzinerkloster;1606 - 1608;Römisch-katholisch;Kloster;Verkauf;;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/23_lu_sursee_kapuzinerkloster/index_ger.html;23
Stans;UW;Kapuzinerkloster;1583 - 1585;Römisch-katholisch;Kloster;Rückgabe;;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/24_nw_stans_kapuzinerkloster/index_ger.html;24
Arth;SZ;Kapuzinerkloster;;Römisch-katholisch;Kloster;Verkauf;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/25_sz_arth_kapuzinerkloster/index_ger.html;25
Luzern;LU;Kapuzinerkloster;1584 - 1588;Römisch-katholisch;Kloster;Unverändert;Umbau;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/26_lu_luzern_kapuzinerkloster/index_ger.html;26
Appenzell;AI;Kapuzinerkloster;1587 - 1590, 1688 (Neubau);Römisch-katholisch;Kloster;Rückgabe;;;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/27_ai_appenzell_kapuzinerkloster/index_ger.html;27
Appenzell;AI;Kapuzinerinnenkloster Maria der Engel;1618 - 1621 (Kirche), 1679 - 1682 (Kloster);Römisch-katholisch;Kloster;;;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/28_ai_appenzell_kapuzinerinnenkloster_maria_der_engel/index_ger.html;28
