ort;kanton;name;baujahr;konfession;bautypus;architekt;infolink;id
Turgi;AG;Reformierte Kirche;1959 - 1960;Evangelisch-reformiert;Kirche;"Gloor, Ernst Walter; Dubach, Hans";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/214_ag_turgi_reformierte_kirche/index_ger.html;214
Villmergen;AG;Reformierte Kirche;1964 - 1965;Evangelisch-reformiert;Kirche;"Dubach, Hans; Gloor, Walter";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/216_ag_villmergen_reformierte_kirche/index_ger.html;216
Bern;BE;Matthäuskirche;1962 - 1965;Evangelisch-reformiert;Kirche;Frey, Egger + Peterhans;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/221_be_bern_matthaeuskirche/index_ger.html;221
Bern;BE;Neuapostolische Kirche;1952;Neuapostolisch;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/222_be_bern_neuapostolische_kirche/index_ger.html;222
Bern;BE;Heiligkreuz;1967 - 1969;Römisch-katholisch;Kirche;Förderer, Walter Maria;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/227_be_bern_heiligkreuz/index_ger.html;227
Gstaad (Saanen);BE;Neuapostolische Kirche;1961;Neuapostolisch;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/236_be_gstaad_saanen_neuapostolische_kirche/index_ger.html;236
Sumiswald;BE;Katholische Pfarrkirche;1973;Römisch-katholisch;Kirche;Negri, Josef;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/238_be_sumiswald_katholische_pfarrkirche/index_ger.html;238
Thun;BE;Johanneskirche;1965 - 1967;Evangelisch-reformiert;Gemeindezentrum;Küenzi, Werner;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/239_be_thun_johanneskirche/index_ger.html;239
Urtenen-Schönbühl;BE;Neuapostolische Kirche;1974;Neuapostolisch;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/240_be_urtenen_schoenbuehl_neuapostolische_kirche/index_ger.html;240
Basel;BS;Lukaskirche;1971 - 1972;Evangelisch-reformiert;Kirche;"Vischer, Florian; Weber, Georges";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/250_bs_basel_lukaskirche/index_ger.html;250
Fribourg;FR;Chapelle Regina Mundi;1958;Römisch-katholisch;Kirche;Colliard, Marcel;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/255_fr_fribourg_chapelle_regina_mundi/index_ger.html;255
Genève;GE;Temple de la Roseraie;1961;Evangelisch-reformiert;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/262_ge_genve_temple_de_la_roseraie/index_ger.html;262
Genève;GE;Sainte-Jeanne-de-Chantal;1964 - 1965;Römisch-katholisch;Kirche;Ellenberger, Jean-Marie;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/263_ge_genve_sainte_jeanne_de_chantal/index_ger.html;263
Genève;GE;Saint-Nicolas-de-Flüe;1966 - 1968;Römisch-katholisch;Kirche;"Malnati, Virginio; Malnati, Jacques; et al.";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/264_ge_genve_saint_nicolas_de_fluee/index_ger.html;264
Genève;GE;Saint-Jean XXIII;1982;Römisch-katholisch;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/265_ge_genve_saint_jean_xxiii/index_ger.html;265
Les Avanchets (Vernier);GE;Centre Communautaire Oecuménique;1977;Ökumenisch;Gemeindezentrum;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/270_ge_les_avanchets_vernier_centre_communautaire_oecumnique/index_ger.html;270
Châtelaine (Vernier);GE;Temple de Châtelaine;1958 - 1959;Evangelisch-reformiert;Kirche;"Gaillard, André; Gaillard, Francis";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/271_ge_chtelaine_vernier_temple_de_chtelaine/index_ger.html;271
Ebikon;LU;Kirchenzentrum Höfli;1975 - 1977;Römisch-katholisch;Gemeindezentrum;Lischer, Daniel;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/275_lu_ebikon_kirchenzentrum_hoefli/index_ger.html;275
Hasle;LU;Hauskapelle im Ferienhaus der Ingebohler Schwestern;1973;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/280_lu_hasle_hauskapelle_im_ferienhaus_der_ingebohler_schwestern/index_ger.html;280
Rickenbach LU;LU;Dominikanerinnenkloster;1983 - 1985;Römisch-katholisch;Kloster;Hofer, Peter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/288_lu_rickenbach_lu_dominikanerinnenkloster/index_ger.html;288
Werthenstein;LU;Seminar der Missionare von der Heiligen Familie;1969 - 1970;Römisch-katholisch;Seminar;Baumeler, Theo;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/291_lu_werthenstein_seminar_der_missionare_von_der_heiligen_familie/index_ger.html;291
Boudry;NE;Eglise apostolique des Addoz;1989;Neuapostolisch;Kirche;Fahrni, Claude-Alain;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/293_ne_boudry_eglise_apostolique_des_addoz/index_ger.html;293
Cortaillod;NE;Chapelle du Précieux Sang;1962;Römisch-katholisch;Kirche;Pizzera, Louis;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/295_ne_cortaillod_chapelle_du_prcieux_sang/index_ger.html;295
La Chaux-de-Fonds;NE;Temple des Forges;1969;Evangelisch-reformiert;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/297_ne_la_chaux_de_fonds_temple_des_forges/index_ger.html;297
Le Locle;NE;Eglise néo-apostolique;1972;Neuapostolisch;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0200/299_ne_le_locle_eglise_no_apostolique/index_ger.html;299
Le Locle;NE;Chapelle des Saints Apôtres;1961 - 1968;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/300_ne_le_locle_chapelle_des_saints_aptres/index_ger.html;300
Neuchâtel;NE;Chapelle des Charmettes;1968 - 1969;Evangelisch-reformiert;Kirche;Faessler, René;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/301_ne_neuchtel_chapelle_des_charmettes/index_ger.html;301
Dulliken;SO;Franziskushaus der Kapuziner;1965 - 1968;Römisch-katholisch;Bildungshaus;Glaus, Otto;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/320_so_dulliken_franziskushaus_der_kapuziner/index_ger.html;320
Lausanne;VD;Eglise de la Science chrétienne;1952;First Church of Christ Scientist;Kirche;Cahen, Jean-Pierre;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/345_vd_lausanne_eglise_de_la_science_chrtienne/index_ger.html;345
Brigerbad (Brig-Glis);VS;Bruder-Klaus-Kapelle;1978;Römisch-katholisch;Kapelle;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/348_vs_brigerbad_brig_glis_bruder_klaus_kapelle/index_ger.html;348
Brig-Glis;VS;Neuapostolische Kapelle;1991 - 1992;Neuapostolisch;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/349_vs_brig_glis_neuapostolische_kapelle/index_ger.html;349
Schlieren;ZH;Neuapostolische Kirche;1969;Neuapostolisch;Kirche;;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/366_zh_schlieren_neuapostolische_kirche/index_ger.html;366
Winterthur;ZH;Kirche Rosenberg;1964 - 1966;Evangelisch-reformiert;Kirche;Klaiber, Alfred;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/368_zh_winterthur_kirche_rosenberg/index_ger.html;368
Zürich;ZH;Bullingerkirche;1953 - 1956;Evangelisch-reformiert;Kirche;"Pfister, Hans; Pfister, Kurt";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/371_zh_zuerich_bullingerkirche/index_ger.html;371
Zürich;ZH;Maria-Hilf 1;1949 - 1950;Römisch-katholisch;Kirche;Moser, Alois;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/380_zh_zuerich_maria_hilf_1/index_ger.html;380
Zürich;ZH;Neuapostolische Kirche Zürich-Albisrieden;2015;Neuapostolisch;Kirche;"Guignard, Pascale; Saner, Stefan";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/383_zh_zuerich_neuapostolische_kirche_zuerich_albisrieden/index_ger.html;383
Zürich;ZH;Matthäuskirche;1946 - 1950;Evangelisch-reformiert;Kirche;Gomringer, Max;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/384_zh_zuerich_matthaeuskirche/index_ger.html;384
Bern;BE;Markuskirche;1949 - 1951;Evangelisch-reformiert;Kirche;"Müller-Wipf, Karl; Daxelhofer, Henry";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/385_be_bern_markuskirche/index_ger.html;385
Zürich;ZH;Kirche Albisrieden;1949 - 1951;Evangelisch-reformiert;Kirche;Meyenburg, Hans Martin von;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/386_zh_zuerich_kirche_albisrieden/index_ger.html;386
Lausanne;VD;Temple de Saint-Marc;1950 - 1951;Evangelisch-reformiert;Kirche;"Bonnard, Pierre; Boy de la Tour, Edouard-Philippe";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/387_vd_lausanne_temple_de_saint_marc/index_ger.html;387
Zürich;ZH;Kirche Balgrist;1950 - 1952;Evangelisch-reformiert;Kirche;"Pfister, Hans; Pfister, Kurt";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/388_zh_zuerich_kirche_balgrist/index_ger.html;388
Bern;BE;Kirche im Diakonissenhaus;1951;Evangelisch-reformiert;Kirche;"Bracher, Hans; Frey, Willy";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/389_be_bern_kirche_im_diakonissenhaus/index_ger.html;389
Basel;BS;Gemeindehaus Stephanus;1952;Evangelisch-reformiert;Gemeindezentrum;"Eya, Leo; Burckhardt, Martin";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/390_bs_basel_gemeindehaus_stephanus/index_ger.html;390
Lausanne;VD;Chapelle de Malley;1952;Evangelisch-reformiert;Kirche;Margot, Pierre;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/391_vd_lausanne_chapelle_de_malley/index_ger.html;391
Zürich;ZH;Kirche Letten;1954;Evangelisch-reformiert;Kirche;"Aeschlimann, Max; Baumgartner, Armin";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/393_zh_zuerich_kirche_letten/index_ger.html;393
Zürich;ZH;Stefanskirche;1954 - 1955;Evangelisch-reformiert;Kirche;"Aeschlimann, Max; Baumgartner, Armin";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/394_zh_zuerich_stefanskirche/index_ger.html;394
Genève;GE;Centre paroissial de Montbrillant;1954 - 1959;Evangelisch-reformiert;Kirche;"Breitenbücher, Roger; Chatelain, Gerard";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/395_ge_genve_centre_paroissial_de_montbrillant/index_ger.html;395
Zürich;ZH;Neue Kirche Witikon und Kirchgemeindehaus;1955 - 1957;Evangelisch-reformiert;Kirche;Laubi, Theodor;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/396_zh_zuerich_neue_kirche_witikon_und_kirchgemeindehaus/index_ger.html;396
Basel;BS;Thomaskirche;1956 - 1958;Evangelisch-reformiert;Gemeindezentrum;Huber, Benedikt;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/398_bs_basel_thomaskirche/index_ger.html;398
Bern;BE;Bethlehem;1958 - 1960;Evangelisch-reformiert;Kirche;Küenzi, Werner;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0300/399_be_bern_bethlehem/index_ger.html;399
Lausanne;VD;Maison de paroisse et chapelle de Béthusy;1959 - 1960;Evangelisch-reformiert;Gemeindezentrum;Cahen, Jean-Pierre;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/400_vd_lausanne_maison_de_paroisse_et_chapelle_de_bthusy/index_ger.html;400
Lausanne;VD;Temple de Sévelin;1959 - 1961;Evangelisch-reformiert;Kirche;"Cahen, Jean-Pierre; Margot, Pierre; et al.";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/401_vd_lausanne_temple_de_svelin/index_ger.html;401
Lausanne;VD;Chapelle des Râpes;1959 - 1961;Evangelisch-reformiert;Kirche;Maurel, Pierre;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/402_vd_lausanne_chapelle_des_rpes/index_ger.html;402
Zürich;ZH;Thomaskirche im Gut;1959 - 1961;Evangelisch-reformiert;Kirche;Hofmann, Hans;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/403_zh_zuerich_thomaskirche_im_gut/index_ger.html;403
Zürich;ZH;Kirche Saatlen Zürich-Schwamendingen;1961 - 1964;Evangelisch-reformiert;Kirche;"Leemann, Peter; Cramer, Fred; et al.";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/405_zh_zuerich_kirche_saatlen_zuerich_schwamendingen/index_ger.html;405
Lausanne;VD;Temple de Montriond;1962 - 1964;Evangelisch-reformiert;Kirche;Cahen, Jean-Pierre;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/406_vd_lausanne_temple_de_montriond/index_ger.html;406
Basel;BS;Tituskirche;1963 - 1964;Evangelisch-reformiert;Gemeindezentrum;Huber, Benedikt;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/408_bs_basel_tituskirche/index_ger.html;408
Basel;BS;Gellertkirche;1964;Evangelisch-reformiert;Kirche;Blumer, Curt Peter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/409_bs_basel_gellertkirche/index_ger.html;409
Zürich;ZH;Andreaskirche;1965 - 1966;Evangelisch-reformiert;Kirche;Padrutt, Jakob;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/410_zh_zuerich_andreaskirche/index_ger.html;410
Genève;GE;Temple de la Servette;1970;Evangelisch-reformiert;Kirche;Marti, Paul;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/411_ge_genve_temple_de_la_servette/index_ger.html;411
Luzern;LU;Reformiertes Kirchgemeinedzentrum auf Weinbergli;1970 - 1971;Evangelisch-reformiert;Kirche;Scheuner, Bruno;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/412_lu_luzern_reformiertes_kirchgemeinedzentrum_auf_weinbergli/index_ger.html;412
Lausanne;VD;Saint-Jacques;1970 - 1972;Evangelisch-reformiert;Kirche;"Maillard, Marcel; Maillard, Jacques";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/413_vd_lausanne_saint_jacques/index_ger.html;413
Genève;GE;Centre paroissial de Malagnou;1970 - 1971;Evangelisch-reformiert;Kirche;"Frey, Michel; Frey, Gilbert";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f0400/414_ge_genve_centre_paroissial_de_malagnou/index_ger.html;414
